"StockCode","Description","TotalUnits"
"23005","printing smudges/thrown away",-19200
"23003","Printing smudges/thrown away",-9058
"72140F","throw away",-5368
"16045","",-3667
"16259","",-3167
"20713","wrongly marked. 23343 in box",-3100
"84598","check",-3000
"23270","incorrect stock entry.",-2880
"18007","",-2834
"72732","thrown away-can't sell",-2472
"23059","Thrown away-rusty",-2376
"21829","?missing",-1897
"85036C","damages wax",-1560
"79164","damages/credits from ASOS.",-1512
"16008","check",-1510
"21620","mystery! Only ever imported 1800",-1479
"23268","Incorrect stock entry.",-1440
"23269","incorrect stock entry.",-1440
"23117","Damaged",-1440
"23116","Damaged",-1440
"23115","Damaged",-1440
"23113","Damaged",-1440
"23114","Damaged",-1440
"84611B","thrown away",-1430
"22351","Given away",-1400
"47566B","reverse previous adjustment",-1300
"85036B","damages wax",-1284
"35610A","thrown away",-1277
"21700","sold as set on dotcom and amazon",-1206
"85175","? sold as sets?",-1200
"21135","wet rusty",-1152
"85204","lost??",-1131
"35610C","Thrown away.",-1121
"40016","damaged stock",-1100
"22740","?",-1060
"22578","lost",-1050
"85099F","",-991
"72038P","damages",-990
"85175","wrongly sold sets",-975
"84929","code mix up? 84930",-967
"35957","",-904
"16045","check",-900
"85078","missing",-840
"20713","wrongly coded-23343",-800
"37370","sold as set/6 by dotcom",-786
"40016","?",-752
"21622","POSSIBLE DAMAGES OR LOST?",-750
"84997C","?",-741
"20956","?",-723
"72807B","wet pallet",-696
"22127","sold in set?",-690
"85172","Dotcom set",-675
"79030D","damages",-664
"22030","??",-635
"22945","sold as set on dotcom",-618
"85172","?sold as sets?",-600
"85172","wrongly sold as sets",-600
"37370","damages/dotcom?",-590
"22219","???lost",-550
"85106","",-542
"35610B","thrown away",-541
"15036","",-530
"72759","thrown away-can't sell.",-524
"72807A","wet pallet",-504
"23084","temp adjustment",-484
"20735","",-472
"82600","historic computer difference?....se",-458
"84406B","?",-450
"21830","?",-443
"22435","?missing",-434
"21829","sold as 1",-432
"35954","counted",-430
"72807C","???missing",-428
"79030G","damages",-413
"72807C","wet pallet",-408
"21621","?",-400
"23343","20713",-400
"23055","rusty thrown away",-398
"21033","",-393
"85061W","",-391
"21201","???",-390
"84614A","thrown away",-390
"22130","sold as set on dotcom",-390
"21830","OOPS ! adjustment",-384
"90057","crushed boxes",-380
"84596G","??",-365
"22796","Not rcvd in 10/11/2010 delivery",-360
"85104","????damages????",-355
"84799","",-346
"85175","dotcom sold sets",-345
"21391","Sold as 1 on dotcom",-342
"23090","missing",-338
"21688","mixed up",-337
"22572","??",-335
"21918","",-333
"84809B","damaged",-324
"21689","wrong barcode",-323
"21696","",-320
"35954","",-314
"16169E","check",-313
"84050","counted",-310
"22759","check",-310
"72802A","Wet pallet-thrown away",-306
"21135","sold as set on dotcom",-304
"21815","?",-300
"22577","check",-300
"22051","?",-300
"46000S","Dotcom",-300
"72802B","check",-290
"82599","?",-290
"16015","",-289
"22481","wet boxes",-288
"23057","rusty throw away",-280
"22080","",-277
"21136","sold as set on dotcom",-272
"20867","?",-271
"22812","?",-270
"21591","check",-267
"85185B","?",-259
"22804","Wrongly mrked had 85123a in box",-256
"85123A","wrongly marked carton 22804",-256
"21830","sold as 1",-252
"21578","?",-251
"85199L","?",-250
"84754","",-242
"22044","",-240
"40001","check",-240
"23169","smashed",-235
"22034","",-234
"22459","?lost",-232
"21098","damages?",-231
"84613A","thrown away",-230
"20866","?",-230
"85025C","barcode problem",-230
"21294","damaged",-227
"72225C","",-226
"21503","",-224
"47504K","",-224
"72807A","???missing",-224
"20711","check",-220
"21351","damaged",-220
"82583","?",-220
"35970","",-217
"21811","check",-214
"21272","?",-212
"85175","Amazon sold sets",-210
"21820","",-210
"35004C","",-210
"23056","rusty throw away",-210
"21786","check",-209
"21078","",-207
"47591B","?",-207
"22915","sold as set on dotcom",-204
"20977","",-204
"20975","",-204
"84877D","?",-203
"47591D","",-201
"23343","20713 wrongly marked",-200
"23343","wrongly coded 20713",-200
"85017B","",-199
"22042","",-197
"20893","damages/display",-197
"22078","",-197
"20966","",-193
"21090","WET/MOULDY",-192
"37479P","??",-184
"84341B","",-181
"22152","check",-179
"22719","wrong barcode (22467)",-178
"85230E","",-178
"21210","",-177
"22959","check",-175
"84613C","",-173
"22568","?? missing",-170
"21634","",-169
"20826","",-169
"21161","",-168
"21192","check",-164
"84612B","thrown away",-162
"21937","?",-161
"84879","damaged",-160
"72803A","damages",-160
"84559B","",-158
"21682","?display?",-156
"22217","damages?",-155
"20681","MIA",-154
"84859C","wet?",-153
"20956","check",-152
"21110","",-151
"84763","Display",-150
"84249A","check",-150
"79067","",-150
"72807C","damages",-149
"84596E","",-148
"22988","",-147
"21785","",-147
"22245","",-147
"21402","",-147
"85172","check",-145
"84800L","wet damaged",-144
"22035","",-141
"79163","",-141
"21472","",-140
"20856","??",-140
"21890","missing",-140
"21637","",-139
"21642","check",-138
"21810","check",-135
"37327","damages",-131
"22575","missing?",-130
"82582","??",-130
"18098C","",-130
"21648","",-130
"85049F","",-130
"21818","check",-130
"22084","",-129
"21355","",-127
"84809A","",-126
"22522","check",-126
"84804A","wet damaged",-125
"84802B","",-125
"22449","can't find",-125
"84800M","",-124
"21166","?",-124
"72807B","????missing",-124
"20700","?",-121
"22158","",-120
"21447","",-118
"85232D","mix up with c",-118
"85111","check",-117
"21399","",-116
"21670","",-115
"22336","",-114
"22202","",-114
"21539","damages?",-111
"22652","check",-111
"82551","",-110
"22719","wrong code",-110
"20694","?",-110
"85231G","check",-110
"21833","damages",-110
"16156S","",-110
"21700","",-110
"51008","",-110
"21098","",-110
"22198","",-109
"84798B","",-109
"85132C","damages",-109
"22948","sold as set on dotcom",-108
"85019C","Damaged",-108
"22501","incorrectly put back into stock",-108
"40016","",-108
"22837","?",-106
"22162","",-104
"84279P","check",-104
"21824","check",-103
"84801A","check",-102
"20823","",-102
"16053","",-102
"72807B","damages",-101
"22520","",-101
"22052","",-100
"46000M","Dotcom sales",-100
"46000S","Dotcom sales",-100
"22467","wrong code?",-100
"21621","re dotcom quick fix.",-100
"22501","reverse 21/5/10 adjustment",-100
"22502","reverse 21/5/10 adjustment",-100
"85049D","?",-100
"22049","damaged",-100
"23159","",-99
"22521","",-99
"20711","lost in space",-98
"21187","",-97
"85132A","damaged",-97
"22867","",-96
"84804B","",-96
"84805A","wet damaged",-96
"84805B","wet damaged",-96
"37327","sold as set on dotcom",-95
"21147","?",-95
"22272","",-95
"20686","",-95
"21823","check",-94
"21257","?",-94
"21619","check",-94
"37482P","Damaged",-93
"84912B","",-93
"21246","",-92
"62094B","",-92
"22181","check",-92
"21014","check",-90
"46000S","dotcom sales",-90
"21172","",-90
"22523","?",-90
"22121","?",-90
"22163","",-90
"62096A","",-88
"21693","mixed up",-87
"22268","",-86
"17012A","",-86
"47559B","",-84
"16162M","",-84
"22569","?",-84
"23155","sold as set on dotcom",-84
"77101A","",-83
"21429","",-83
"10133","damaged",-82
"85036A","",-82
"20854","",-82
"21071","check",-82
"85034A","damaged",-81
"21817","",-80
"21743","",-80
"21519","check",-80
"22147","check",-80
"21537","?",-80
"22164","",-80
"21504","",-80
"20839","damages",-80
"22595","check",-80
"22533","",-80
"22632","",-79
"35810A","check",-78
"20658","",-78
"20716","",-78
"20967","",-77
"85136A","damages",-77
"84534B","",-77
"21486","",-77
"21907","",-77
"21692","",-76
"22050","",-75
"72802C","check",-75
"22114","",-75
"16169P","",-75
"84913A","",-75
"21174","",-75
"22570","?",-74
"21804","",-74
"71279","damages",-74
"82567","",-73
"22792","damages",-73
"85206A","",-73
"90209C","",-71
"22336","damaged",-71
"82613B","",-71
"22791","",-70
"20756","",-70
"85188B","",-70
"84569D","",-70
"17012B","check",-70
"84818","damages",-70
"21163","",-70
"21169","",-70
"22155","",-70
"22548","",-70
"47556B","",-69
"47570B","",-69
"20827","damages",-68
"21809","",-68
"18094C","",-67
"72817","check",-67
"22482","",-66
"84976","",-66
"85135B","",-65
"22458","Missing",-65
"37342","",-65
"21807","",-65
"23071","damages",-65
"22637","damages",-65
"20775","",-64
"22966","",-64
"84406B","incorrectly made-thrown away.",-64
"85125","check",-64
"23035","check",-64
"21018","damaged",-63
"22452","",-63
"21320","broken",-63
"23288","check",-63
"21843","smashed",-63
"21144","",-63
"22524","",-62
"22445","",-62
"21318","",-62
"21684","",-62
"22892","check",-62
"23187","check",-62
"84520B","",-61
"22525","",-61
"47574A","check",-61
"15058B","",-61
"17011A","",-61
"22698","",-61
"21179","",-60
"22339","check",-60
"22127","Dotcom sold in 6's",-60
"90191","??",-60
"23032","damages",-60
"84251B","",-60
"84876B","",-59
"22276","",-59
"85096","label mix up",-59
"85035A","CHECK",-59
"21735","damages",-59
"84548","",-58
"23348","sold with wrong barcode",-57
"21397","damaged",-57
"21888","check",-57
"47590B","check",-57
"84917","",-57
"48185","?",-57
"35648","check",-56
"22866","",-56
"22142","check",-56
"23306","",-56
"22073","",-56
"72807A","damages",-56
"21422","",-55
"20893","damages",-55
"20886","",-55
"20758","",-54
"84993B","",-54
"48173C","",-54
"72802C","damages",-54
"21618","CHECK",-54
"21181","check",-54
"90096","",-54
"22633","",-53
"72127","",-53
"51020B","adjust",-53
"35818B","",-53
"84748","",-52
"84352","Damages/samples",-52
"20759","",-52
"35609A","",-51
"72799F","",-51
"21259","",-51
"21586","",-51
"23072","damages",-50
"72818","",-50
"22720","",-50
"90010B","",-50
"84584","?",-50
"21043","",-50
"72802A","?",-50
"21446","",-50
"84969","check",-50
"22033","",-50
"22028","",-50
"22024","",-50
"22968","water damage",-50
"20665","",-49
"85135C","Damages",-49
"23028","",-49
"23131","?",-49
"21641","",-49
"85230E","Damaged",-48
"75131","",-48
"85230F","",-48
"21109","wet",-48
"22700","smashed",-48
"84801A","wet damaged",-48
"22606","",-48
"22857","sold as set on dotcom",-48
"17096","",-48
"22926","",-48
"21613","",-47
"22286","check",-47
"22087","",-47
"21165","",-46
"20984","damaged",-46
"90195A","check",-45
"71143","",-45
"35972","",-45
"21622","damages",-45
"22469","",-45
"84546","",-45
"22036","",-45
"20684","",-45
"16043","",-45
"21974","",-45
"84801B","",-44
"35817P","thrown away",-44
"15060B","",-43
"35649","",-43
"22242","",-43
"35833G","damages",-43
"22271","check",-43
"35915C","damaged",-43
"35923","check",-42
"22893","",-42
"21827","",-42
"23175","",-42
"22922","sold as set on dotcom",-42
"22944","sold as set on dotcom",-42
"85132B","",-42
"85175","check",-42
"21488","",-42
"22587","check",-41
"22588","",-41
"21000","",-41
"85016","",-41
"84581","check",-41
"85118","",-41
"22927","?",-40
"22423","damages",-40
"22775","",-40
"22579","dotcom",-40
"21448","",-40
"21424","damages",-40
"21159","damaged",-40
"21894","",-40
"22043","check",-40
"22149","damages",-40
"21793","check",-40
"21865","",-40
"20752","",-40
"35241","damages?",-40
"23322","mouldy",-40
"22854","",-40
"20803","damages",-40
"21349","",-39
"82494L","cracked",-39
"77081","",-39
"85054","check",-39
"84508A","check",-39
"21781","damages?",-39
"85144","",-38
"22088","",-38
"21803","check",-38
"84029E","",-38
"21683","",-38
"10123G","",-38
"84406B","",-38
"21395","",-38
"21896","",-38
"84569B","",-37
"21717","",-37
"72816","",-37
"20652","check",-37
"22412","",-37
"84766","",-37
"84569C","",-37
"35001W","",-36
"85035B","check",-36
"22461","",-36
"85136C","damages",-36
"20738","",-36
"22740","",-36
"21839","",-36
"20751","check",-35
"84968E","check",-35
"22777","",-35
"21394","damages",-35
"75172","",-35
"20892","",-34
"84531A","",-34
"23462","damages",-34
"20857","",-34
"21067","",-34
"84226","",-34
"22862","",-33
"22943","check",-33
"21116","",-33
"84678","",-33
"21801","",-33
"21632","",-33
"20903","",-33
"21638","",-33
"82494L","crushed ctn",-33
"21244","",-33
"35916C","",-32
"21627","check",-32
"84916","",-32
"21190","",-32
"90180A","stock check",-32
"85103","stock creditted wrongly",-32
"84313B","Damaged",-32
"84625C","",-32
"84631","",-32
"22415","",-31
"21195","",-31
"21281","",-31
"84455","",-31
"37477C","",-31
"21518","",-31
"22586","check",-30
"22924","sold as set on dotcom",-30
"37479P","sold as set on dotcom",-30
"20840","damages",-30
"21814","",-30
"37479B","sold as set by dotcom",-30
"22856","sold as set on dotcom",-30
"84920","",-30
"22025","check",-30
"21621","",-30
"20701","",-30
"23412","?",-30
"21527","damages",-30
"85086A","",-30
"15058C","wet/rusty",-30
"15058A","wet/rusty",-30
"35922","",-30
"84522","",-30
"72781","",-30
"22667","damaged",-30
"21275","?",-30
"84422","Dagamed",-30
"23118","Breakages",-30
"22518","",-30
"21171","",-30
"22576","check",-30
"84800L","",-29
"22427","damages",-29
"85215","Damaged",-29
"17013D","",-29
"84609","damages",-29
"21258","?",-29
"21054","",-29
"21392","",-29
"90200C","",-29
"21359","",-29
"21165","check",-28
"90173","",-28
"84251J","",-28
"22176","check",-28
"90210D","check",-28
"21868","check",-28
"48116","",-27
"35611B","thrown away",-27
"84856L","",-27
"22797","damages",-27
"15044B","",-27
"21051","",-27
"84877B","",-27
"21870","",-26
"85049D","",-26
"84898F","",-26
"21615","check",-26
"23395","check",-26
"84743C","damages",-26
"35933","",-26
"37467","",-26
"21391","",-26
"72818","check",-26
"16169K","",-25
"22688","",-25
"21332","",-25
"22784","damages",-25
"20669","",-25
"21911","",-25
"21040","",-25
"22810","check",-25
"21137","",-25
"84249A","damaged",-25
"21414","",-25
"22173","",-25
"22719","sold as 22467",-25
"16162L","",-24
"85167B","",-24
"47503H","check",-24
"85035C","check",-24
"22128","sold as set on dotcom",-24
"21033","taig adjust no stock",-24
"35833P","check",-24
"22665","",-24
"79163","sold as set on dotcom",-24
"22480","",-24
"35650","",-24
"84751B","",-24
"46126A","",-23
"23152","",-23
"85130A","",-23
"81950B","",-23
"22136","",-23
"18097A","",-23
"84508B","",-23
"21352","check",-23
"21320","",-23
"22687","",-23
"35815P","",-23
"84531B","",-23
"85036B","check",-23
"20671","",-22
"17012C","check",-22
"21636","check",-22
"21288","",-22
"84990","",-22
"35818B","adjustment",-22
"40018F","",-22
"85208","check",-22
"84816","damages",-21
"85006","",-21
"85160A","",-21
"84596L","",-21
"21431","",-21
"23406","CHECK",-21
"20906","",-21
"21891","",-21
"21337","",-21
"21744","check",-21
"21311","",-21
"22946","check",-21
"84877A","",-21
"84508C","check",-21
"35916A","",-21
"35916B","",-21
"84968F","check",-20
"22712","",-20
"21011","",-20
"22454","",-20
"21620","check",-20
"22409","",-20
"85017A","",-20
"22722","",-20
"22925","",-20
"22601","check",-20
"22021","",-20
"84660C","",-20
"85161","samples/damages",-20
"23029","damages",-20
"84952C","",-19
"21407","",-19
"90099","",-19
"21363","",-19
"84968B","",-19
"47502","",-19
"10134","",-19
"21656","samples",-19
"23400","check",-19
"84876C","",-19
"22519","",-19
"90082D","",-19
"10123C","",-18
"17011F","",-18
"90012A","stock check",-18
"84597C","",-18
"21248","",-18
"84569A","",-18
"48189","damaged",-18
"84638","",-18
"21175","",-18
"90120D","",-18
"37340","sold as set on dotcom",-18
"21527","",-18
"21143","",-17
"21361","",-17
"37423","",-17
"21898","",-17
"84875A","",-17
"22497","",-17
"84919","",-17
"84966A","",-17
"21836","",-16
"71038","check",-16
"47343A","",-16
"21027","",-16
"85008","",-16
"84910A","",-16
"72051S","",-16
"79030G","Water damaged",-16
"37464","",-16
"22060","",-16
"16052","",-16
"47344B","",-16
"22848","",-16
"84743C","",-16
"21662","",-16
"20699","",-16
"85087","",-16
"84872A","",-16
"82494L","",-16
"21283","",-15
"20934","",-15
"22426","check",-15
"90164A","",-15
"22272","Damaged",-15
"20665","adjustment",-15
"84660A","damaged",-15
"23091","",-15
"72800D","",-15
"84665","water damaged",-15
"21589","",-14
"22567","",-14
"84726","",-14
"21819","check",-14
"21416","",-14
"21825","",-14
"85232A","",-14
"21610","",-14
"21673","",-14
"90164B","",-14
"20774","damaged",-14
"22180","",-14
"22168","",-14
"84912B","damaged",-14
"37474","",-14
"21179","damaged",-14
"35597A","",-14
"22784","",-14
"22451","",-14
"23065","",-13
"82483","crushed",-13
"47574B","",-13
"22184","",-13
"84597B","",-13
"85064","",-13
"35271S","",-13
"35809A","",-13
"22423","faulty",-13
"21087","",-13
"20773","",-13
"23066","",-13
"85195","",-13
"35823P","",-12
"22149","check",-12
"22923","sold as set on dotcom",-12
"21547","",-12
"90014A","check",-12
"84925D","",-12
"44236","",-12
"37501","",-12
"23131","",-12
"21535","",-12
"35603B","",-12
"22453","",-12
"37471","sold as set on dotcom",-12
"21858","",-12
"20998","",-11
"20816","",-11
"22655","damages/showroom etc",-11
"84881","",-11
"40003","",-11
"37477B","",-11
"84966B","",-11
"21324","",-11
"DCGS0067","ebay",-11
"84563B","damaged",-11
"22194","",-11
"84415A","",-11
"85198","",-11
"84761","",-11
"79336","",-11
"17090D","",-10
"90210C","",-10
"72801C","check",-10
"84576","",-10
"47563B","",-10
"20898","check",-10
"84499","",-10
"DCGS0068","ebay",-10
"22121","check",-10
"22778","check",-10
"20752","check",-10
"84563A","",-10
"62096B","",-10
"22268","check",-10
"84750A","",-10
"22625","",-9
"84415B","",-9
"22244","",-9
"22192","",-9
"85067","",-9
